label,source,target
abcd-bcad,1ab,1ac
abcd-bcda,1ab,1ac
abcd-bcda,1ab,1ad
abcd-bdac,1ab,1ad
abcd-bdca,1ab,1ac
abcd-bdca,1ab,1ad
abcd-cbda,1ab,1ad
abcd-dbca,1ab,1ac
abdc-bcad,1ab,1ac
abdc-bcda,1ab,1ac
abdc-bcda,1ab,1ad
abdc-bdac,1ab,1ad
abdc-bdca,1ab,1ac
abdc-bdca,1ab,1ad
abdc-cbda,1ab,1ad
abdc-dbca,1ab,1ac
acbd-bcda,1ab,1ad
acbd-bdac,1ab,1ad
acbd-bdca,1ab,1ad
acbd-cbda,1ab,1ad
adbc-bcad,1ab,1ac
adbc-bcda,1ab,1ac
adbc-bdca,1ab,1ac
adbc-dbca,1ab,1ac
bcad-abcd,2ab,2ac
bcad-abdc,2ab,2ac
bcad-adbc,2ab,2ac
bcad-cabd,2ab,2cb
bcad-cadb,2ab,2cb
bcad-cdab,2ab,2cb
bcad-dabc,2ab,2ac
bcad-dcab,2ab,2cb
bcda-abcd,2ab,2ac
bcda-abcd,2ab,2ad
bcda-abdc,2ab,2ac
bcda-abdc,2ab,2ad
bcda-acbd,2ab,2ad
bcda-adbc,2ab,2ac
bcda-cabd,2ab,2ad
bcda-cabd,2ab,2cb
bcda-cadb,2ab,2cb
bcda-cdab,2ab,2cb
bcda-cdab,2ab,2db
bcda-dabc,2ab,2ac
bcda-dabc,2ab,2db
bcda-dacb,2ab,2db
bcda-dcab,2ab,2cb
bcda-dcab,2ab,2db
bdac-abcd,2ab,2ad
bdac-abdc,2ab,2ad
bdac-acbd,2ab,2ad
bdac-cabd,2ab,2ad
bdac-cdab,2ab,2db
bdac-dabc,2ab,2db
bdac-dacb,2ab,2db
bdac-dcab,2ab,2db
bdca-abcd,2ab,2ac
bdca-abcd,2ab,2ad
bdca-abdc,2ab,2ac
bdca-abdc,2ab,2ad
bdca-acbd,2ab,2ad
bdca-adbc,2ab,2ac
bdca-cabd,2ab,2ad
bdca-cabd,2ab,2cb
bdca-cadb,2ab,2cb
bdca-cdab,2ab,2cb
bdca-cdab,2ab,2db
bdca-dabc,2ab,2ac
bdca-dabc,2ab,2db
bdca-dacb,2ab,2db
bdca-dcab,2ab,2cb
bdca-dcab,2ab,2db
cabd-bcad,1ab,1cb
cabd-bcda,1ab,1ad
cabd-bcda,1ab,1cb
cabd-bdac,1ab,1ad
cabd-bdca,1ab,1ad
cabd-bdca,1ab,1cb
cabd-cbda,1ab,1ad
cabd-dbca,1ab,1cb
cadb-bcad,1ab,1cb
cadb-bcda,1ab,1cb
cadb-bdca,1ab,1cb
cadb-dbca,1ab,1cb
cbda-abcd,2ab,2ad
cbda-abdc,2ab,2ad
cbda-acbd,2ab,2ad
cbda-cabd,2ab,2ad
cbda-cdab,2ab,2db
cbda-dabc,2ab,2db
cbda-dacb,2ab,2db
cbda-dcab,2ab,2db
cdab-bcad,1ab,1cb
cdab-bcda,1ab,1cb
cdab-bcda,1ab,1db
cdab-bdac,1ab,1db
cdab-bdca,1ab,1cb
cdab-bdca,1ab,1db
cdab-cbda,1ab,1db
cdab-dbca,1ab,1cb
dabc-bcad,1ab,1ac
dabc-bcda,1ab,1ac
dabc-bcda,1ab,1db
dabc-bdac,1ab,1db
dabc-bdca,1ab,1ac
dabc-bdca,1ab,1db
dabc-cbda,1ab,1db
dabc-dbca,1ab,1ac
dacb-bcda,1ab,1db
dacb-bdac,1ab,1db
dacb-bdca,1ab,1db
dacb-cbda,1ab,1db
dbca-abcd,2ab,2ac
dbca-abdc,2ab,2ac
dbca-adbc,2ab,2ac
dbca-cabd,2ab,2cb
dbca-cadb,2ab,2cb
dbca-cdab,2ab,2cb
dbca-dabc,2ab,2ac
dbca-dcab,2ab,2cb
dcab-bcad,1ab,1cb
dcab-bcda,1ab,1cb
dcab-bcda,1ab,1db
dcab-bdac,1ab,1db
dcab-bdca,1ab,1cb
dcab-bdca,1ab,1db
dcab-cbda,1ab,1db
dcab-dbca,1ab,1cb
abcd-bcda,1ac,1ad
abcd-cbda,1ac,1ad
abcd-cdab,1ac,1ad
abcd-cdba,1ac,1ad
acbd-bcda,1ac,1ad
acbd-cbad,1ac,1ab
acbd-cbda,1ac,1ab
acbd-cbda,1ac,1ad
acbd-cdab,1ac,1ad
acbd-cdba,1ac,1ab
acbd-cdba,1ac,1ad
acbd-dcba,1ac,1ab
acdb-bcda,1ac,1ad
acdb-cbad,1ac,1ab
acdb-cbda,1ac,1ab
acdb-cbda,1ac,1ad
acdb-cdab,1ac,1ad
acdb-cdba,1ac,1ab
acdb-cdba,1ac,1ad
acdb-dcba,1ac,1ab
adcb-cbad,1ac,1ab
adcb-cbda,1ac,1ab
adcb-cdba,1ac,1ab
adcb-dcba,1ac,1ab
bacd-bcda,1ac,1ad
bacd-cbad,1ac,1bc
bacd-cbda,1ac,1ad
bacd-cbda,1ac,1bc
bacd-cdab,1ac,1ad
bacd-cdba,1ac,1ad
bacd-cdba,1ac,1bc
bacd-dcba,1ac,1bc
badc-cbad,1ac,1bc
badc-cbda,1ac,1bc
badc-cdba,1ac,1bc
badc-dcba,1ac,1bc
bcda-abcd,2ac,2ad
bcda-acbd,2ac,2ad
bcda-acdb,2ac,2ad
bcda-bacd,2ac,2ad
bcda-bdac,2ac,2dc
bcda-dabc,2ac,2dc
bcda-dacb,2ac,2dc
bcda-dbac,2ac,2dc
bdac-bcda,1ac,1dc
bdac-cbad,1ac,1bc
bdac-cbda,1ac,1bc
bdac-cbda,1ac,1dc
bdac-cdab,1ac,1dc
bdac-cdba,1ac,1bc
bdac-cdba,1ac,1dc
bdac-dcba,1ac,1bc
cbad-acbd,2ac,2ab
cbad-acdb,2ac,2ab
cbad-adcb,2ac,2ab
cbad-bacd,2ac,2bc
cbad-badc,2ac,2bc
cbad-bdac,2ac,2bc
cbad-dacb,2ac,2ab
cbad-dbac,2ac,2bc
cbda-abcd,2ac,2ad
cbda-acbd,2ac,2ab
cbda-acbd,2ac,2ad
cbda-acdb,2ac,2ab
cbda-acdb,2ac,2ad
cbda-adcb,2ac,2ab
cbda-bacd,2ac,2ad
cbda-bacd,2ac,2bc
cbda-badc,2ac,2bc
cbda-bdac,2ac,2bc
cbda-bdac,2ac,2dc
cbda-dabc,2ac,2dc
cbda-dacb,2ac,2ab
cbda-dacb,2ac,2dc
cbda-dbac,2ac,2bc
cbda-dbac,2ac,2dc
cdab-abcd,2ac,2ad
cdab-acbd,2ac,2ad
cdab-acdb,2ac,2ad
cdab-bacd,2ac,2ad
cdab-bdac,2ac,2dc
cdab-dabc,2ac,2dc
cdab-dacb,2ac,2dc
cdab-dbac,2ac,2dc
cdba-abcd,2ac,2ad
cdba-acbd,2ac,2ab
cdba-acbd,2ac,2ad
cdba-acdb,2ac,2ab
cdba-acdb,2ac,2ad
cdba-adcb,2ac,2ab
cdba-bacd,2ac,2ad
cdba-bacd,2ac,2bc
cdba-badc,2ac,2bc
cdba-bdac,2ac,2bc
cdba-bdac,2ac,2dc
cdba-dabc,2ac,2dc
cdba-dacb,2ac,2ab
cdba-dacb,2ac,2dc
cdba-dbac,2ac,2bc
cdba-dbac,2ac,2dc
dabc-bcda,1ac,1dc
dabc-cbda,1ac,1dc
dabc-cdab,1ac,1dc
dabc-cdba,1ac,1dc
dacb-bcda,1ac,1dc
dacb-cbad,1ac,1ab
dacb-cbda,1ac,1ab
dacb-cbda,1ac,1dc
dacb-cdab,1ac,1dc
dacb-cdba,1ac,1ab
dacb-cdba,1ac,1dc
dacb-dcba,1ac,1ab
dbac-bcda,1ac,1dc
dbac-cbad,1ac,1bc
dbac-cbda,1ac,1bc
dbac-cbda,1ac,1dc
dbac-cdab,1ac,1dc
dbac-cdba,1ac,1bc
dbac-cdba,1ac,1dc
dbac-dcba,1ac,1bc
dcba-acbd,2ac,2ab
dcba-acdb,2ac,2ab
dcba-adcb,2ac,2ab
dcba-bacd,2ac,2bc
dcba-badc,2ac,2bc
dcba-bdac,2ac,2bc
dcba-dacb,2ac,2ab
dcba-dbac,2ac,2bc
abdc-bdca,1ad,1ac
abdc-dbca,1ad,1ac
abdc-dcab,1ad,1ac
abdc-dcba,1ad,1ac
acdb-cdba,1ad,1ab
acdb-dbac,1ad,1ab
acdb-dbca,1ad,1ab
acdb-dcba,1ad,1ab
adbc-bdca,1ad,1ac
adbc-cdba,1ad,1ab
adbc-dbac,1ad,1ab
adbc-dbca,1ad,1ab
adbc-dbca,1ad,1ac
adbc-dcab,1ad,1ac
adbc-dcba,1ad,1ab
adbc-dcba,1ad,1ac
adcb-bdca,1ad,1ac
adcb-cdba,1ad,1ab
adcb-dbac,1ad,1ab
adcb-dbca,1ad,1ab
adcb-dbca,1ad,1ac
adcb-dcab,1ad,1ac
adcb-dcba,1ad,1ab
adcb-dcba,1ad,1ac
bacd-cdba,1ad,1bd
bacd-dbac,1ad,1bd
bacd-dbca,1ad,1bd
bacd-dcba,1ad,1bd
badc-bdca,1ad,1ac
badc-cdba,1ad,1bd
badc-dbac,1ad,1bd
badc-dbca,1ad,1ac
badc-dbca,1ad,1bd
badc-dcab,1ad,1ac
badc-dcba,1ad,1ac
badc-dcba,1ad,1bd
bcad-bdca,1ad,1cd
bcad-cdba,1ad,1bd
bcad-dbac,1ad,1bd
bcad-dbca,1ad,1bd
bcad-dbca,1ad,1cd
bcad-dcab,1ad,1cd
bcad-dcba,1ad,1bd
bcad-dcba,1ad,1cd
bdca-abdc,2ad,2ac
bdca-adbc,2ad,2ac
bdca-adcb,2ad,2ac
bdca-badc,2ad,2ac
bdca-bcad,2ad,2cd
bdca-cabd,2ad,2cd
